BoroughCode,StatusOrderNumber,MainStreet,FromStreet,ToStreet,SideOfStreet
M,P-253872,WALL STREET,FRONT STREET,SOUTH STREET,S
M,S-180167,WALL STREET,WILLIAM STREET,PEARL STREET,N
M,S-788099,WALL STREET,BROAD STREET,WILLIAM STREET,S
M,S-788462,WALL STREET,HANOVER STREET,PEARL STREET,S
M,S-174938,WALL STREET,BROADWAY,NEW STREET,S
M,S-988743,WALL STREET,WATER STREET,FRONT STREET,S
M,S-174937,WALL STREET,NEW STREET,BROAD STREET,S
M,S-988742,WALL STREET,PEARL STREET,WATER STREET,S
M,P-253868,WALL STREET,FRONT STREET,SOUTH STREET,N
M,S-204566,WALL STREET,WATER STREET,FRONT STREET,N
M,P-255011,WALL STREET,PEARL STREET,WATER STREET,N
M,S-110119,WALL STREET,BROADWAY,NASSAU STREET,N
M,S-291740,WALL STREET,WILLIAM STREET,HANOVER STREET,S
M,S-987897,WALL STREET,NASSAU STREET,WILLIAM STREET,N
M,P-148766,WALL STREET            *PRK AREA,FRONT STREET,SOUTH STREET,N
M,S-065855,BROOME STREET,ALLEN STREET,ORCHARD STREET,S
M,S-105317,BROOME STREET,CENTRE MARKET PLACE,CENTRE STREET,S
M,S-105318,BROOME STREET,CENTRE STREET,LAFAYETTE STREET,S
M,S-105319,BROOME STREET,LAFAYETTE STREET,CROSBY STREET,S
M,S-105486,BROOME STREET,BROADWAY,MERCER STREET,S
M,S-105487,BROOME STREET,MERCER STREET,GREENE STREET,S
M,S-105500,BROOME STREET,WEST BROADWAY,THOMPSON STREET,N
M,S-105499,BROOME STREET,WOOSTER STREET,WEST BROADWAY,N
M,S-105498,BROOME STREET,LAFAYETTE STREET,CROSBY STREET,N
M,S-105497,BROOME STREET,GREENE STREET,WOOSTER STREET,N
M,S-105496,BROOME STREET,BROADWAY,MERCER STREET,N
M,S-105495,BROOME STREET,CROSBY STREET,BROADWAY,N
M,S-105491,BROOME STREET,BOWERY,ELIZABETH STREET,N
M,S-105490,BROOME STREET,WOOSTER STREET,WEST BROADWAY,S
M,S-105489,BROOME STREET,GREENE STREET,WOOSTER STREET,S
M,S-216963,BROOME STREET,MULBERRY STREET,CLEVELAND PLACE,N
M,S-065621,BROOME STREET,CHRYSTIE STREET,BOWERY,N
M,S-065622,BROOME STREET,CHRYSTIE STREET,BOWERY,S
M,S-065623,BROOME STREET,FORSYTH STREET,ELDRIDGE STREET,S
M,S-214386,BROOME STREET,MULBERRY STREET,CENTRE STREET,N
M,S-065624,BROOME STREET,LUDLOW STREET,ESSEX STREET,S
M,S-286630,BROOME STREET,ELDRIDGE STREET,ALLEN STREET,N
M,P-252432,BROOME STREET,CENTRE STREET,LAFAYETTE STREET,N
M,S-065625,BROOME STREET,ESSEX STREET,NORFOLK STREET,S
M,S-065626,BROOME STREET,ORCHARD STREET,LUDLOW STREET,S
M,P-255250,BROOME STREET,ALLEN STREET,ORCHARD STREET,N
M,P-251524,BROOME STREET,ATTORNEY STREET,CLINTON STREET,N
M,S-065628,BROOME STREET,SUFFOLK STREET,NORFOLK STREET,S
M,S-065629,BROOME STREET,SUFFOLK STREET,CLINTON STREET,S
M,S-065509,BROOME STREET,ESSEX STREET,NORFOLK STREET,N
M,P-253267,BROOME STREET,MOTT STREET,MULBERRY STREET,S
M,S-065511,BROOME STREET,CLINTON STREET,RIDGE STREET,N
M,S-249597,BROOME STREET,VARICK STREET,HOLLAND TUNN PLAZA,S
M,P-242619,BROOME STREET,ORCHARD STREET,LUDLOW STREET,N
M,S-108868,BROOME STREET,HOLLAND TUNN PLAZA,HUDSON STREET,N
M,S-108867,BROOME STREET,HOLLAND TUNN PLAZA,HUDSON STREET,S
M,S-108836,BROOME STREET,WEST BROADWAY,THOMPSON STREET,S
M,S-258164,BROOME STREET,CENTRE STREET,CENTRE MARKET PLACE,N
M,S-065618,BROOME STREET,ELDRIDGE STREET,ALLEN STREET,S
M,S-065648,BROOME STREET,NORFOLK STREET,SUFFOLK STREET,N
M,S-065620,BROOME STREET,SUFFOLK STREET,CLINTON STREET,N
M,S-160626,BROOME STREET,RIDGE STREET,PITT STREET,N
M,S-209659,BROOME STREET,ELIZABETH STREET,MOTT STREET,N
M,S-277452,BROOME STREET,THOMPSON STREET,SULLIVAN STREET,N
M,S-277371,BROOME STREET,PITT STREET,WILLETT STREET,S
M,S-283760,BROOME STREET,LEWIS STREET,CANNON STREET,S
M,S-181140,BROOME STREET,CLINTON STREET,PITT STREET,S
M,S-283761,BROOME STREET,LEWIS STREET,CANNON STREET,N
M,S-158701,BROOME STREET,FORSYTH STREET,ELDRIDGE STREET,N
M,S-181128,BROOME STREET,THOMPSON STREET,AVENUE OF THE AMERICAS,S
M,S-179277,BROOME STREET,AVENUE OF THE AMERICAS,VARICK STREET,S
M,S-260256,BROOME STREET,WOOSTER STREET,BROADWAY,S
M,S-834646,BROOME STREET,HOLLAND TUNNEL ENTRANCE,HUDSON STREET,N
M,S-834645,BROOME STREET,VARICK STREET,HOLLAND TUNNEL ENTRANCE,N
M,S-826199,BROOME STREET,MERCER STREET,GREENE STREET,N
M,S-223380,BROOME STREET,RIDGE STREET,ATTORNEY STREET,S
M,S-232623,BROOME STREET,BROADWAY,THOMPSON STREET,N
M,S-223381,BROOME STREET,WILLETT STREET,PITT STREET,N
M,P-253093,BROOME STREET,BOWERY,ELIZABETH STREET,S
M,S-601285,BROOME STREET,CLEVELAND PLACE,LAFAYETTE STREET,N
M,S-601399,BROOME STREET,VARICK STREET,HOLLAND TUNNEL PLAZA,N
M,S-193700,BROOME STREET,AVENUE OF THE AMERICAS,VARICK STREET,N
M,S-234410,BROOME STREET,RIDGE STREET,PITT STREET,S
M,S-692209,BROOME STREET,WOOSTER STREET,BROADWAY,N
M,S-018162,BROOME STREET,CLEVELAND PLACE,LAFAYETTE STREET,S
M,S-154153,BROOME STREET,MOTT STREET,MULBERRY STREET,N
M,S-105687,BROOME STREET,CROSBY STREET,BROADWAY,S
M,S-105686,BROOME STREET,ELIZABETH STREET,MOTT STREET,S
M,P-036812,BROOME STREET,CLINTON STREET,ATTORNEY STREET,S
M,S-234559,BROOME STREET,RIDGE STREET,ATTORNEY STREET,N
M,S-099127,BROOME STREET,FORSYTH STREET,ESSEX STREET,N
M,P-251974,BROOME STREET,LUDLOW STREET,ESSEX STREET,N
M,S-105316,BROOME STREET,MULBERRY STREET,CENTRE MARKET PLACE,S
M,P-241767,ALLEN STREET,EAST HOUSTON STREET,STANTON STREET,W
M,P-254597,ALLEN STREET,STANTON STREET,RIVINGTON STREET,W
M,P-241178,ALLEN STREET,CANAL STREET,DIVISION STREET,W
M,P-259741,ALLEN STREET,GRAND STREET,HESTER STREET,W
M,P-239822,ALLEN STREET,GRAND STREET,BROOME STREET,E
M,P-259577,ALLEN STREET,DIVISION STREET,CANAL STREET,E
M,P-242945,ALLEN STREET,CANAL STREET,HESTER STREET,E
M,P-251427,ALLEN STREET,STANTON STREET,EAST HOUSTON STREET,E
M,P-255838,ALLEN STREET,BROOME STREET,DELANCEY STREET,E
M,P-251994,ALLEN STREET,BROOME STREET,GRAND STREET,W
M,P-278971,ALLEN STREET,HESTER STREET,GRAND STREET,E
M,P-254601,ALLEN STREET,RIVINGTON STREET,STANTON STREET,E
M,P-259580,ALLEN STREET,RIVINGTON STREET,DELANCEY STREET,W
M,P-251825,ALLEN STREET,DELANCEY STREET,RIVINGTON STREET,E
M,S-066222,ALLEN STREET,HESTER STREET,CANAL STREET,W
M,P-252463,ALLEN STREET,DELANCEY STREET,BROOME STREET,W
M,S-873394,ALLEN STREET,EAST BROADWAY,DIVISION STREET,W
M,S-223291,ALLEN STREET,DIVISION STREET,BROADWAY,W
M,S-988758,PEARL STREET,PINE STREET,WALL STREET,W
M,S-257641,PEARL STREET,CENTRE STREET,CENTRE STREET,N
M,S-988757,PEARL STREET,CEDAR STREET,PINE STREET,W
M,S-988756,PEARL STREET,JOHN STREET,PLATT STREET,W
M,S-988755,PEARL STREET,FLETCHER STREET,MAIDEN LANE,E
M,S-988754,PEARL STREET,MAIDEN LANE,CEDAR STREET,W
M,S-988753,PEARL STREET,HANOVER SQUARE,COENTIES SLIP,E
M,S-256373,PEARL STREET,CHAMBERS STREET,BROOKLYN BRIDGE,W
M,P-256638,PEARL STREET,BEEKMAN STREET,PECK SLIP,E
M,S-255523,PEARL STREET,BROOKLYN BRIDGE,FRANKFORT STREET,W
M,P-278154,PEARL STREET,PECK SLIP,DOVER STREET,E
M,S-249670,PEARL STREET,MOORE STREET,WHITEHALL STREET,E
M,P-039327,PEARL STREET,KENT PLACE,FOLEY SQUARE,N
M,S-788485,PEARL STREET,WHITEHALL STREET,STATE STREET,N
M,S-269400,PEARL STREET,HANOVER SQUARE,BROAD STREET,W
M,S-989859,PEARL STREET,WALL STREET,BEAVER STREET,W
M,S-785347,PEARL STREET,PARK ROW,CARDINAL HAYES PLACE,N
M,S-289483,PEARL STREET,COENTIES SLIP,BROAD STREET,E
M,S-241850,PEARL STREET,FULTON STREET,BEEKMAN STREET,E
M,S-784974,PEARL STREET,MADISON STREET,AVENUE OF THE FINEST,W
M,S-976036,PEARL STREET,PARK ROW,FOLEY SQUARE,N
M,S-240105,PEARL STREET,ST JAMES PLACE,PARK ROW,S
M,S-989828,PEARL STREET,MADISON STREET,PARK ROW,N
M,S-989829,PEARL STREET,PARK ROW,CARDINAL HAYES PLACE,S
M,S-967746,PEARL STREET,BEAVER STREET,HANOVER STREET,W
M,S-961073,PEARL STREET,CARDINAL HAYES PLACE,FOLEY SQUARE,S
M,P-057008,PEARL STREET,ST JAMES PLACE,MADISON STREET,E
M,S-135370,PEARL STREET,COENTIES SLIP,COENTIES SLIP,E
M,S-135371,PEARL STREET,COENTIES SLIP,BROAD STREET,W
M,P-283786,PEARL STREET,FRANKFORT STREET,FULTON STREET,W
M,S-211641,PEARL STREET,PLATT STREET,MAIDEN LANE,W
M,S-211811,PEARL STREET,DOVER STREET,ROBERT F WAGNER SER,E
M,P-266580,PEARL STREET,WALL STREET,HANOVER SQUARE,E
M,S-277595,PEARL STREET,PARK ROW,MADISON AVENUE,S
M,S-262576,PEARL STREET,CENTRE STREET,LAFAYETTE STREET,N
M,S-135372,PEARL STREET,COENTIES ALLEY,BROAD STREET,E
M,S-099138,PEARL STREET,PARK ROW,BROADWAY,N
M,S-262573,PEARL STREET,CENTRE STREET,LAFAYETTE STREET,S
M,S-099523,PEARL STREET,FULTON STREET,FRANKFORT STREET,N
